shape,strategy,inputs,comparisons,checks,sum_input_median_ns
edge_not_aligned,fixed_three,1,26,8,28708
edge_not_aligned,fixed_four,1,30,6,34667
edge_not_aligned,runs_count,1,25,10,33333
edge_not_aligned,runs_length,1,25,10,37333
edge_odd,merge,1,8,0,8750
edge_odd,hybrid_8,1,9,0,7916
edge_odd,fixed_two,1,10,2,10791
edge_odd,fixed_three,1,9,2,9417
edge_odd,fixed_four,1,8,1,9375
edge_odd,runs_count,1,11,4,12500
edge_odd,runs_length,1,10,4,14208
edge_pair,merge,1,1,0,1833
edge_pair,hybrid_8,1,1,0,1708
edge_pair,fixed_two,1,1,0,2375
edge_pair,fixed_three,1,1,0,3375
edge_pair,fixed_four,1,1,0,4417
edge_pair,runs_count,1,2,1,3917
edge_pair,runs_length,1,2,1,5167
edge_singleton,merge,1,0,0,583
edge_singleton,hybrid_8,1,0,0,917
edge_singleton,fixed_two,1,0,0,1709
edge_singleton,fixed_three,1,0,0,2459
edge_singleton,fixed_four,1,0,0,3416
edge_singleton,runs_count,1,0,0,1041
edge_singleton,runs_length,1,0,0,1083
long_runs,merge,9,5532,0,41666958
long_runs,hybrid_8,9,5012,0,40655124
long_runs,fixed_two,9,6169,637,42504997
long_runs,fixed_three,9,4851,806,39165750
long_runs,fixed_four,9,4886,855,39116666
long_runs,runs_count,9,3051,1152,58032333
long_runs,runs_length,9,3032,1152,57427251
perturbed,merge,9,5721,0,40867956
perturbed,hybrid_8,9,5208,0,38953959
perturbed,fixed_two,9,5824,201,40412165
perturbed,fixed_three,9,5613,309,39884749
perturbed,fixed_four,9,5844,327,40540835
perturbed,runs_count,9,4377,1152,60912752
perturbed,runs_length,9,4381,1152,60437168
random,merge,9,7152,0,49452416
random,hybrid_8,9,7661,0,50635960
random,fixed_two,9,7188,36,49567625
random,fixed_three,9,7319,49,52910041
random,fixed_four,9,7215,63,49657666
random,runs_count,9,7756,1152,72139750
random,runs_length,9,7702,1152,73848042
random_boundaries,merge,9,6476,0,48387166
random_boundaries,hybrid_8,9,6422,0,47279416
random_boundaries,fixed_two,9,6560,181,47872667
random_boundaries,fixed_three,9,6654,210,50308416
random_boundaries,fixed_four,9,6649,283,48034960
random_boundaries,runs_count,9,5555,1152,69146041
random_boundaries,runs_length,9,5281,1152,67274624
reverse,merge,9,4383,0,16123833
reverse,hybrid_8,9,6345,0,20182833
reverse,fixed_two,9,4401,18,16288294
reverse,fixed_three,9,4827,27,21999377
reverse,fixed_four,9,4419,36,16317127
reverse,runs_count,9,5535,1152,40375293
reverse,runs_length,9,5388,1152,42180833
short_runs,merge,9,7122,0,50186668
short_runs,hybrid_8,9,7507,0,50814041
short_runs,fixed_two,9,7168,46,50005001
short_runs,fixed_three,9,7287,63,53083708
short_runs,fixed_four,9,7211,89,49983124
short_runs,runs_count,9,7379,1152,72450875
short_runs,runs_length,9,7284,1152,73183041
skewed_runs,merge,9,5308,0,34452292
skewed_runs,hybrid_8,9,4886,0,33328791
skewed_runs,fixed_two,9,5804,528,34585624
skewed_runs,fixed_three,9,4719,706,29979084
skewed_runs,fixed_four,9,4550,790,31432125
skewed_runs,runs_count,9,4709,1152,85736958
skewed_runs,runs_length,9,3339,1152,59817624
sorted,merge,9,4236,0,16175125
sorted,hybrid_8,9,3615,0,14742668
sorted,fixed_two,9,1719,1143,6832209
sorted,fixed_three,9,1905,1134,6408957
sorted,fixed_four,9,2277,1125,9982207
sorted,runs_count,9,1152,1152,24025623
sorted,runs_length,9,1152,1152,23932919
unequal_runs,merge,9,5350,0,37242876
unequal_runs,hybrid_8,9,4803,0,36002374
unequal_runs,fixed_two,9,5267,655,35521000
unequal_runs,fixed_three,9,5347,753,37321167
unequal_runs,fixed_four,9,4708,846,34475210
unequal_runs,runs_count,9,3097,1152,56025710
unequal_runs,runs_length,9,3004,1152,55210750
