stage,case_id,shape,seed,input_sha256,strategy,n,run_count,run_lengths,bound,check_comparisons,comparisons,conditional_applicable,conditional_bound,merge_or_sort_comparisons,tree_budget,plan,median_ns,min_ns,max_ns,median_scan_ns,median_plan_with_consumption_ns,median_merge_only_ns
calibration,calibration-9029-192-long_runs,long_runs,9029,a1e3182819af6046bfb8f8e0947a02fbf1fdd9a9d65fdc4f5d44759787a4bd57,hybrid_24,192,3,"[66, 86, 40]",2784,0,889,True,2784,889,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",6817500,6668584,7268042,,,
calibration,calibration-9029-192-long_runs,long_runs,9029,a1e3182819af6046bfb8f8e0947a02fbf1fdd9a9d65fdc4f5d44759787a4bd57,hybrid_64,192,3,"[66, 86, 40]",4896,0,1367,True,4896,1367,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",10257542,10096000,10743166,,,
calibration,calibration-9029-24-random,random,9029,f2f17a90674a7a7d91b7b75dd2c85cfd6e3e3ba35a6ee1a74fcb98335abbbd6d,hybrid_1,24,14,"[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1]",112,0,82,True,112,82,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",154542,142042,164916,,,
calibration,calibration-9029-24-random,random,9029,f2f17a90674a7a7d91b7b75dd2c85cfd6e3e3ba35a6ee1a74fcb98335abbbd6d,hybrid_4,24,14,"[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1]",96,0,82,True,96,82,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",157917,136667,173333,,,
calibration,calibration-9029-24-random,random,9029,f2f17a90674a7a7d91b7b75dd2c85cfd6e3e3ba35a6ee1a74fcb98335abbbd6d,hybrid_8,24,14,"[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1]",108,0,95,True,108,95,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",144125,143625,168125,,,
calibration,calibration-9029-24-random,random,9029,f2f17a90674a7a7d91b7b75dd2c85cfd6e3e3ba35a6ee1a74fcb98335abbbd6d,hybrid_16,24,14,"[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1]",156,0,116,True,156,116,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",196917,189709,222500,,,
calibration,calibration-9029-24-random,random,9029,f2f17a90674a7a7d91b7b75dd2c85cfd6e3e3ba35a6ee1a74fcb98335abbbd6d,hybrid_24,24,14,"[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1]",276,0,182,True,276,182,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",481209,450167,496875,,,
calibration,calibration-9029-24-random,random,9029,f2f17a90674a7a7d91b7b75dd2c85cfd6e3e3ba35a6ee1a74fcb98335abbbd6d,hybrid_64,24,14,"[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1]",276,0,182,True,276,182,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",481375,465042,493833,,,
calibration,calibration-9011-192-perturbed,perturbed,9011,601641847c9393a6685307ebe3d309ca4c380a50638ce555bda1e93d993f7a2d,hybrid_1,192,15,"[1, 17, 10, 5, 6, 12, 12, 35, 2, 2, 20, 3, 10, 38, 19]",1472,0,965,True,1472,965,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",4945583,4864250,4967458,,,
calibration,calibration-9011-192-perturbed,perturbed,9011,601641847c9393a6685307ebe3d309ca4c380a50638ce555bda1e93d993f7a2d,hybrid_4,192,15,"[1, 17, 10, 5, 6, 12, 12, 35, 2, 2, 20, 3, 10, 38, 19]",1344,0,965,True,1344,965,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",4853250,4782000,5073917,,,
calibration,calibration-9011-192-perturbed,perturbed,9011,601641847c9393a6685307ebe3d309ca4c380a50638ce555bda1e93d993f7a2d,hybrid_8,192,15,"[1, 17, 10, 5, 6, 12, 12, 35, 2, 2, 20, 3, 10, 38, 19]",1440,0,914,True,1440,914,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",4687084,4600917,4748625,,,
calibration,calibration-9011-192-perturbed,perturbed,9011,601641847c9393a6685307ebe3d309ca4c380a50638ce555bda1e93d993f7a2d,hybrid_16,192,15,"[1, 17, 10, 5, 6, 12, 12, 35, 2, 2, 20, 3, 10, 38, 19]",1824,0,845,True,1824,845,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",4662083,4625417,4778625,,,
calibration,calibration-9011-192-perturbed,perturbed,9011,601641847c9393a6685307ebe3d309ca4c380a50638ce555bda1e93d993f7a2d,hybrid_24,192,15,"[1, 17, 10, 5, 6, 12, 12, 35, 2, 2, 20, 3, 10, 38, 19]",2784,0,783,True,2784,783,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",4782583,4691167,4957084,,,
calibration,calibration-9011-192-perturbed,perturbed,9011,601641847c9393a6685307ebe3d309ca4c380a50638ce555bda1e93d993f7a2d,hybrid_64,192,15,"[1, 17, 10, 5, 6, 12, 12, 35, 2, 2, 20, 3, 10, 38, 19]",4896,0,818,True,4896,818,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",5682041,5618500,5808708,,,
calibration,calibration-9011-80-unequal_runs,unequal_runs,9011,70dcb34b8a4c6446fa98e68be14bc0c681252c7ae616c566f6145e60808b2689,hybrid_1,80,2,"[53, 27]",512,0,291,True,512,291,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",934000,918875,1010375,,,
calibration,calibration-9011-80-unequal_runs,unequal_runs,9011,70dcb34b8a4c6446fa98e68be14bc0c681252c7ae616c566f6145e60808b2689,hybrid_4,80,2,"[53, 27]",464,0,291,True,464,291,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",889541,814417,944500,,,
calibration,calibration-9011-80-unequal_runs,unequal_runs,9011,70dcb34b8a4c6446fa98e68be14bc0c681252c7ae616c566f6145e60808b2689,hybrid_8,80,2,"[53, 27]",480,0,277,True,480,277,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",857542,824667,872208,,,
