stage,case_id,shape,seed,input_sha256,strategy,mode,n,run_count,run_lengths,plan,comparisons,check_comparisons,sort_comparisons,bound,tree_budget,conditional_applicable,conditional_bound,cost_source,median_ns,min_ns,max_ns,samples_ns
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_length,scan_only,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[3, 225], [[[2, [2, 2]], [[2, 3], [2, 1]]], [[[2, 2], 4], [3, [2, [1, 1]]]]]]",810,256,554,850,594,False,,measured and independently checked,11893125,11520458,12076625,"[11520458, 11893125, 11743708, 11924458, 12076625]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_length,merge_only,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[3, 225], [[[2, [2, 2]], [[2, 3], [2, 1]]], [[[2, 2], 4], [3, [2, [1, 1]]]]]]",810,256,554,850,594,False,,measured and independently checked,7288459,7114584,7461000,"[7380542, 7461000, 7288459, 7197375, 7114584]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_length,staged_direct,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[3, 225], [[[2, [2, 2]], [[2, 3], [2, 1]]], [[[2, 2], 4], [3, [2, [1, 1]]]]]]",810,256,554,850,594,False,,measured and independently checked,575292,559208,609708,"[575292, 609708, 570750, 592083, 559208]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,merge,reference,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",merge,527,0,527,679,,True,679,measured and independently checked,2126084,2101541,2214209,"[2150500, 2122500, 2126084, 2101541, 2214209]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,merge,counted,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",merge,527,0,527,679,,True,679,measured and independently checked,424708,418375,436209,"[424708, 418375, 436209, 418875, 426375]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,merge,plain,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",merge,527,0,527,679,,True,679,proved symbolic instrumentation (not maintained),121167,117458,123583,"[117750, 122708, 121167, 117458, 123583]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,hybrid_8,reference,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",hybrid_8,558,0,558,634,,True,634,measured and independently checked,2174125,2148625,2208292,"[2174125, 2148625, 2166167, 2198875, 2208292]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,hybrid_8,counted,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",hybrid_8,558,0,558,634,,True,634,measured and independently checked,383375,372834,389667,"[383375, 385583, 372834, 377083, 389667]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,hybrid_8,plain,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",hybrid_8,558,0,558,634,,True,634,proved symbolic instrumentation (not maintained),95292,93833,98291,"[96459, 95292, 94625, 98291, 93833]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,fixed_four,reference,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",fixed_four,533,6,527,772,,False,287,measured and independently checked,2164250,2082000,2174041,"[2164250, 2165292, 2174041, 2082000, 2123458]"
